,Player_Name,Matches_Batted,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Balls_per_Boundary,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Five_Wicket_Hauls
1,Abdul Samad,35.0,410.0,33.0,11.714285714285714,298.0,137.58389261744966,0.0,0.0,23.0,6.081632653061225,26.0,18.0,0.0,35.0,54.0,113.0,2.0,56.5,12.555555555555555,27.0,0.0
2,Abhinav Manohar,17.0,222.0,43.0,13.058823529411764,158.0,140.50632911392404,0.0,0.0,20.0,5.266666666666667,10.0,8.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Abhishek Sharma,42.0,853.0,75.0,20.30952380952381,627.0,136.04465709728868,0.0,4.0,92.0,5.225,28.0,8.0,0.0,42.0,216.0,317.0,8.0,39.625,8.805555555555555,27.0,0.0
4,Abishek Porel,5.0,65.0,20.0,13.0,41.0,158.53658536585365,0.0,0.0,5.0,4.555555555555555,4.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Adam Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Boundary,0.0,0.0,0.0,3.0,66.0,92.0,2.0,46.0,8.363636363636363,33.0,0.0
6,Aiden Markram,34.0,793.0,50.0,23.323529411764707,603.0,131.50912106135985,0.0,4.0,57.0,6.8522727272727275,31.0,21.0,0.0,34.0,109.0,157.0,2.0,78.5,8.642201834862385,54.5,0.0
7,Ajinkya Rahane,34.0,619.0,60.0,18.205882352941178,463.0,133.69330453563714,0.0,3.0,51.0,6.173333333333333,24.0,15.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Akash Deep,7.0,17.0,17.0,2.4285714285714284,10.0,170.0,0.0,0.0,2.0,3.3333333333333335,1.0,3.0,0.0,7.0,143.0,264.0,6.0,44.0,11.076923076923077,23.833333333333332,0.0
9,Akash Madhwal,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Boundary,0.0,0.0,0.0,8.0,153.0,219.0,14.0,15.642857142857142,8.588235294117647,10.928571428571429,1.0
10,Akash Singh,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Boundary,0.0,1.0,0.0,7.0,138.0,227.0,5.0,45.4,9.869565217391305,27.6,0.0
11,Alzarri Joseph,18.0,12.0,0.0,0.6666666666666666,19.0,63.1578947368421,0.0,0.0,1.0,19.0,0.0,3.0,0.0,18.0,370.0,570.0,15.0,38.0,9.243243243243244,24.666666666666668,0.0
12,Amit Mishra,7.0,19.0,19.0,2.7142857142857144,30.0,63.33333333333333,0.0,0.0,2.0,15.0,0.0,2.0,0.0,14.0,258.0,330.0,16.0,20.625,7.674418604651163,16.125,0.0
